prof_id,title,link,snippet,num_cited
0,Salt-specific gene expression reveals elevated auxin levels in Arabidopsis thaliana plants grown under saline conditions,https://www.frontiersin.org/articles/10.3389/fpls.2022.804716/full,"Soil salinization is increasing globally, driving a reduction in crop yields that threatens food security. Salinity stress reduces plant growth by exerting two stresses on plants: rapid shoot …",10
0,“Stealing fire or stacking knowledge” by machine intelligence to model link prediction in complex networks,https://www.sciencedirect.com/science/article/pii/S2589004222019708,… A recent study of Muscoloni and Cannistraci 21 proposes the AUC-mROC that we report in the main figures of this study (in lieu of AUC-ROC whose values are provided for …,2
0,Adaptive network automata modelling of complex networks,https://www.preprints.org/manuscript/202012.0808,… The Cannistraci-Hebb theory is a recent achievement in … novel network automata following the Cannistraci-Hebb rule. For the … We compare Cannistraci-Hebb adaptive (CHA) network …,16
0,Angular separability of data clusters or network communities in geometrical space and its relevance to hyperbolic embedding,https://arxiv.org/abs/1907.00025,"… Bianconi, and CV Cannistraci, “Machine learning meets … Abdelhamid, and CV Cannistraci, “Local-community network … Muscoloni and CV Cannistraci, “Minimum curvilinear automata …",10
0,Early retrieval problem and link prediction evaluation via the area under the magnified ROC,https://www.preprints.org/manuscript/202209.0277,"… of the large-scale experimental study18,19 to which Tao Zhou refers in his review, reports AUC-ROC and AUC-PR evaluations of two landmark link prediction methods: Cannistraci-…",2
0,Geometrical inspired pre-weighting enhances Markov clustering community detection in complex networks,https://appliednetsci.springeropen.com/articles/10.1007/s41109-021-00370-x,"… setting suggested in the original study (Muscoloni and Cannistraci 2018b, c). Given the number of … procedure please refer to the original study (Muscoloni and Cannistraci 2018b, c). …",6
0,Systems network genomic analysis reveals Cardioprotective effect of MURC/Cavin‐4 deletion against ischemia/reperfusion injury,https://www.ahajournals.org/doi/abs/10.1161/JAHA.119.012047,Background Ischemia/reperfusion (I/R) injury is a critical issue in the development of treatment strategies for ischemic heart disease. MURC (muscle‐restricted coiled‐coil protein)/Cavin…,8
0,Age-adaptive and gender-balanced social interventions might be stepping stones to the next 'new normal'in covid-19 outbreak,https://www.preprints.org/manuscript/202005.0005,Many governments particularly in Europe are designing social interventions for the first post COVID-19 emergency phase. Definition of a ‘best practice’for restriction release is urgent. …,9
0,Energy‐sparing by 2‐methyl‐2‐thiazoline protects heart from ischaemia/reperfusion injury,https://onlinelibrary.wiley.com/doi/abs/10.1002/ehf2.13732,Aims Cardiac ischaemia/reperfusion (I/R) injury remains a critical issue in the therapeutic management of ischaemic heart failure. Although mild hypothermia has a protective effect on …,2
0,Measuring Group Separability in Geometrical Space for Evaluation of Pattern Recognition and Dimension Reduction Algorithms,https://ieeexplore.ieee.org/abstract/document/9716930/,Evaluating group separability is fundamental to pattern recognition. A plethora of dimension reduction (DR) algorithms has been developed to reveal the emergence of geometrical …,0
1,Squeezing out All the Value of Loaded Data: An Out-of-core Graph Processing System with Reduced Disk I/O.,https://www.usenix.org/system/files/conference/atc17/atc17-ai.pdf,"… ; Xuehai Qian, University of Southern California; Kang Chen and Weimin Zheng, Department … Contact: Yongwei Wu (wuyw@tsinghua.edu.cn) and Kang Chen (chenkang@tsinghua.edu.…",67
1,DudeTM: Building durable transactions with decoupling for persistent memory,https://dl.acm.org/doi/abs/10.1145/3093336.3037714,"… Contact: Kang Chen (chenkang@tsinghua. edu.cn) and Yongwei Wu (wuyw@tsinghua.edu.… [51] WANG, Z., QIAN, H., LI, J., AND CHEN, H. Using restricted transactional memory to build …",210
1,Choreomaster: choreography-oriented music-driven dance synthesis,https://dl.acm.org/doi/abs/10.1145/3450626.3459932,"Despite strong demand in the game and film industry, automatically synthesizing high-quality dance motions remains a challenging task. In this paper, we present ChoreoMaster, a …",42
1,Occlum: Secure and efficient multitasking inside a single enclave of intel sgx,https://dl.acm.org/doi/abs/10.1145/3373376.3378469,… This work was done while the author was at Tsinghua University. … The authors from Tsinghua University are supported by National Key R&D Program of China (Grant No. …,89
1,Rfp: When rpc is faster than server-bypass with rdma,https://dl.acm.org/doi/abs/10.1145/3064176.3064189,"Remote Direct Memory Access (RDMA) has been widely deployed in modern data centers. However, existing usages of RDMA lead to a dilemma between performance and redesign …",83
1,GraphP: Reducing communication for PIM-based graph processing with efficient data partition,https://ieeexplore.ieee.org/abstract/document/8327036/,Processing-In-Memory (PIM) is an effective technique that reduces data movements by integrating processing units within memory. The recent advance of “big data” and 3D stacking …,199
1,View suggestion for interactive segmentation of indoor scenes,https://link.springer.com/article/10.1007/s41095-017-0078-4,… candidate in computer science in Tsinghua University. His research interests include computer … Kang Chen received his BS degree in computer science from Nanjing University in 2012. …,10
1,Wonderland: A novel abstraction-based out-of-core graph processing system,https://dl.acm.org/doi/abs/10.1145/3296957.3173208,"Many important graph applications are iterative algorithms that repeatedly process the input graph until convergence. For such algorithms, graph abstraction is an important technique: …",64
1,Garbage collection and data recovery for N2DB,https://ieeexplore.ieee.org/abstract/document/9614080/,"… Kang Chen received the PhD degree in computer science and technology from Tsinghua … Currently, he is an associate professor of computer science and technology at Tsinghua …",2
1,Knightking: a fast distributed graph random walk engine,https://dl.acm.org/doi/abs/10.1145/3341301.3359634,"Random walk on graphs has recently gained immense popularity as a tool for graph data analytics and machine learning. Currently, random walk algorithms are developed as …",46
1,AsymNVM: An efficient framework for implementing persistent data structures on asymmetric NVM architecture,https://dl.acm.org/doi/abs/10.1145/3373376.3378511,"The byte-addressable non-volatile memory (NVM) is a promising technology since it simultaneously provides DRAM-like performance, disk-like capacity, and persistency. The current …",41
1,X-RDMA: Effective RDMA middleware in large-scale production environments,https://ieeexplore.ieee.org/abstract/document/8891004/,"… Teng Ma, Kang Chen and Yongwei Wu are with the Department of Computer Science and … Science and Technology (BNRist), Tsinghua University, China and supported by National Key …",14
1,Building Scalable NVM-based B+ tree with HTM,https://dl.acm.org/doi/abs/10.1145/3337821.3337827,"Emerging on-volatile memory (NVM) opens an opportunity to build durable data structures. However, to build a highly efficient complex data structure like B+tree on NVM is not easy. …",18
1,ROART: Range-query Optimized Persistent ART.,https://www.usenix.org/sites/default/files/fast21_full-proceedings-interior.pdf#page=8,"With the availability of commercial NVM devices such as Intel Optane DC PMM, it is time to start thinking about applying the existing persistent data structures in practice. This paper …",40
1,Behavior of octagonal concrete-filled double-skin steel tube stub columns under axial compression,https://www.sciencedirect.com/science/article/pii/S0143974X20300584,This paper presents an experimental investigation on the behavior of stiffened octagonal concrete-filled double-skin tube (CFDST) stub columns subjected to axial compression. A total …,16
1,A gene delivery system containing nuclear localization signal: Increased nucleus import and transfection efficiency with the assistance of RanGAP1,https://www.sciencedirect.com/science/article/pii/S1742706116305906,"In the present report, a degradable gene delivery system (PAMS/DNA/10NLS) containing nucleus location signal peptide (NLS) was prepared. The agarose gel electrophoresis, particle …",29
1,Analysis of brain donors' demographic and medical characteristics to facilitate the construction of a human brain bank in China,https://content.iospress.com/articles/journal-of-alzheimers-disease/jad180779,"… During the past five years, brain samples were provided to more than 30 research teams in Tsinghua University, Peking University, Beijing Hospital, Beijing Tiantan hospital, Shanghai …",17
1,"Towards network governance? The case of emission trading in Guangdong, China",https://www.sciencedirect.com/science/article/pii/S0264837717306245,"… Mai c Anna Ka-yinLee d MariaFrancesch-Huidobro e QingPei f RenCong b KangChen b … primary political authority rests upon the authoritarian state (Chen and Lees, 2016; Gilley, 2012)…",24
1,Rf-rpc: Remote fetching rpc paradigm for rdma-enabled network,https://ieeexplore.ieee.org/abstract/document/8588372/,"… He is now with Graduate School at Shenzhen, Tsinghua University, and Sangfor Inc. Kang Chen received the PhD degree in computer science and technology from Tsinghua University…",9
1,"To isolate, or to share? That is a question for Intel SGX",https://dl.acm.org/doi/abs/10.1145/3265723.3265727,"One cornerstone of computer security is hardware-based isolation mechanisms, among which an emerging technology named Intel Software Guard Extensions (SGX) offers arguably …",15
2,Implicit normalizing flows,https://arxiv.org/abs/2103.09527,"Normalizing flows define a probability distribution by an explicit invertible transformation $\boldsymbol{\mathbf{z}}=f(\boldsymbol{\mathbf{x}})$. In this work, we present implicit …",26
2,Maximum likelihood training for score-based diffusion odes by high order denoising score matching,https://proceedings.mlr.press/v162/lu22f.html,"… Correspondence to: Jianfei Chen <jianfeic@tsinghua.edu.cn>, Jun Zhu <dcszj@tsinghua.… BJJWZYJH012019100020098; a grant from Tsinghua Institute for Guo Qiang; the NVIDIA …",9
2,SaberLDA: Sparsity-aware learning of topic models on GPUs,https://dl.acm.org/doi/abs/10.1145/3093336.3037740,"… Jianfei Chen1,2 … {likw14,chenjian14}@mails.tsinghua.edu.cn … The corresponding authors are Wenguang Chen (cwg@tsinghua.edu.cn) and Jun Zhu (dcszj@tsinghua.edu.cn). …",25
2,Delta tuning: A comprehensive study of parameter efficient methods for pre-trained language models,https://arxiv.org/abs/2203.06904,"Despite the success, the process of fine-tuning large-scale PLMs brings prohibitive adaptation costs. In fact, fine-tuning all the parameters of a colossal model and retaining separate …",57
2,Fast Lossless Neural Compression with Integer-Only Discrete Flows,https://proceedings.mlr.press/v162/wang22a.html,"By applying entropy codecs with learned data distributions, neural compressors have significantly outperformed traditional codecs in terms of compression ratio. However, the high …",3
2,Vflow: More expressive generative flows with variational data augmentation,http://proceedings.mlr.press/v119/chen20p.html,"Generative flows are promising tractable models for density modeling that define probabilistic distributions with invertible transformations. However, tractability imposes architectural …",43
2,Parameter-efficient fine-tuning of large-scale pre-trained language models,https://www.nature.com/articles/s42256-023-00626-4,"With the prevalence of pre-trained language models (PLMs) and the pre-training–fine-tuning paradigm, it has been continuously shown that larger models tend to yield better …",4
2,ZhuSuan: A library for Bayesian deep learning,https://arxiv.org/abs/1709.05870,"In this paper we introduce ZhuSuan, a python probabilistic programming library for Bayesian deep learning, which conjoins the complimentary advantages of Bayesian methods and …",45
2,Stochastic training of graph convolutional networks with variance reduction,https://arxiv.org/abs/1710.10568,"Graph convolutional networks (GCNs) are powerful deep neural networks for graph-structured data. However, GCN computes the representation of a node recursively from its neighbors…",440
2,Dpm-solver: A fast ode solver for diffusion probabilistic model sampling in around 10 steps,https://arxiv.org/abs/2206.00927,"Diffusion probabilistic models (DPMs) are emerging powerful generative models. Despite their high-quality generation performance, DPMs still suffer from their slow sampling as they …",103
2,GACT: Activation compressed training for generic network architectures,https://proceedings.mlr.press/v162/liu22v.html,"… 1 Dequan Wang 1 Yukuo Cen 2 Weize Chen 2 Xu Han 2 Jianfei Chen 2 Zhiyuan Liu 2 Jie Tang 2 Joseph E. Gonzalez … On ResNet-50, we compare with ActNN (Chen et al.…",5
2,Big learning with Bayesian methods,https://academic.oup.com/nsr/article-abstract/4/4/627/3796326,"The explosive growth in data volume and the availability of cheap computing resources have sparked increasing interest in Big learning, an emerging subfield that studies scalable …",82
2,Stochastic expectation maximization with variance reduction,https://proceedings.neurips.cc/paper/2018/hash/aba22f748b1a6dff75bda4fd1ee9fe07-Abstract.html,"Expectation-Maximization (EM) is a popular tool for learning latent variable models, but the vanilla batch EM does not scale to large data sets because the whole data set is needed at …",50
2,A solar power-assisted battery balancing system for electric vehicles,https://ieeexplore.ieee.org/abstract/document/8319452/,"This paper proposes a solar power-assisted electric vehicle battery balancing system. There are three operation modes of the system: solar-balancing, storage-balancing, and charge …",71
2,A double input-parallel-output-series hybrid switched-capacitor boost converter,https://ieeexplore.ieee.org/abstract/document/9316849/,"… degrees in power electronics from Tsinghua University, China, in 2005 and 2009 respectively. From 1996 to 2002, he worked first as an electrical engineer and later as a software …",12
2,Four-level hybrid neutral point clamped converters,https://ieeexplore.ieee.org/abstract/document/9359773/,"In terms of low-voltage (<; 1.5 kV) and high-power (>10 kW) industry applications, power converters without any flying capacitors are preferred to ensure high efficiency, high power …",14
2,Anaerobic sulfamethoxazole‐degrading bacterial consortia in antibiotic‐contaminated wetland sediments identified by DNA‐stable isotope probing and …,https://sfamjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.16091,"Anaerobic degradation has been demonstrated as an important pathway for the removal of sulfonamide (SA) in contaminated environments, and identifying the microorganisms …",0
2,Dpm-solver++: Fast solver for guided sampling of diffusion probabilistic models,https://arxiv.org/abs/2211.01095,"Diffusion probabilistic models (DPMs) have achieved impressive success in high-resolution image synthesis, especially in recent large-scale text-to-image generation applications. An …",15
2,Scalable training of hierarchical topic models,https://dl.acm.org/doi/abs/10.14778/3192965.3192972,"Large-scale topic models serve as basic tools for feature extraction and dimensionality reduction in many practical applications. As a natural extension of flat topic models, hierarchical …",20
2,Bars: Joint search of cell topology and layout for accurate and efficient binary architectures,https://arxiv.org/abs/2011.10804,"Binary Neural Networks (BNNs) have received significant attention due to their promising efficiency. Currently, most BNN studies directly adopt widely-used CNN architectures, which …",4
3,Chromatin accessibility prediction via convolutional long short-term memory networks with k-mer embedding,https://academic.oup.com/bioinformatics/article-abstract/33/14/i92/3953949,"Motivation Experimental techniques for measuring chromatin accessibility are expensive and time consuming, appealing for the development of computational approaches to predict …",98
3,Ambient air pollution and cause-specific risk of hospital admission in China: A nationwide time-series study,https://journals.plos.org/plosmedicine/article?id=10.1371/journal.pmed.1003188,"Background The impacts of air pollution on circulatory and respiratory systems have been extensively studied. However, the associations between air pollution exposure and the risk of …",87
3,scAIDE: clustering of large-scale single-cell RNA-seq data reveals putative and rare cell types,https://academic.oup.com/nargab/article-abstract/2/4/lqaa082/5920393,Recent advancements in both single-cell RNA-sequencing technology and computational resources facilitate the study of cell types on global populations. Up to millions of cells can …,18
3,Automatic emergency diagnosis with knowledge-based tree decoding,https://www.ijcai.org/Proceedings/2020/0471.pdf,"… We conduct experiments on real-world data from the emergency department of Beijing Tsinghua Changgung Hospital, a large-scale hospital in China. Experimental results indicate that …",5
3,Pied-piper: Revealing the backdoor threats in ethereum erc token contracts,https://dl.acm.org/doi/abs/10.1145/3560264,"With the development of decentralized networks, smart contracts, especially those for ERC tokens, are attracting more and more Dapp users to implement their applications. There are …",3
3,Digitalized adaptation of oncology trials during and after COVID-19,https://www.cell.com/cancer-cell/pdf/S1535-6108(20)30325-1.pdf,"While the global scientific community is actively developing therapeutics and vaccines for COVID-19, healthcare services and translational research of other ‘‘nonurgent’’illnesses have …",14
3,Detection of sarcopenia using deep learning-based artificial intelligence body part measure system (AIBMS),https://www.frontiersin.org/articles/10.3389/fphys.2023.1092352/full?utm_source=dlvr.it&utm_medium=twitter,… The study was approved by the institutional review board and ethical committee of Beijing Tsinghua Changgung hospital. The number approved by the ethics committee is 21427-4-01. …,0
3,DACE: a scalable DP-means algorithm for clustering extremely large sequence data,https://academic.oup.com/bioinformatics/article-abstract/33/6/834/2627421,"Motivation Advancements in next-generation sequencing technology have produced large amounts of reads at low cost in a short time. In metagenomics, 16S and 18S rRNA gene have …",14
3,Ontology-based venous thromboembolism risk assessment model developing from medical records,https://bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-019-0856-2,"Padua linear model is widely used for the risk assessment of venous thromboembolism (VTE), a common but preventable complication for inpatients. However, genetic and …",18
3,Attention u-net for interpretable classification on chest x-ray image,https://ieeexplore.ieee.org/abstract/document/9313354/,"Convolutional neural network (CNN) plays a vital role in numerous classification tasks; however, its lack of interpretability limits its application in medical image diagnosis. To tackle this …",3
3,Deep-learning models for the detection and incidence prediction of chronic kidney disease and type 2 diabetes from retinal fundus images,https://www.nature.com/articles/s41551-021-00745-6,"Regular screening for the early detection of common chronic diseases might benefit from the use of deep-learning approaches, particularly in resource-poor or remote settings. Here we …",64
3,Yolo-SG: Salience-Guided Detection Of Small Objects In Medical Images,https://ieeexplore.ieee.org/abstract/document/9898077/,"Object detection, a crucial component of medical image analysis, provides physicians with an interpretable auxiliary diagnostic basis. Although existing object detection models have …",0
3,Leveraging multiple genomic data to prioritize disease-causing indels from exome sequencing data,https://link.springer.com/content/pdf/10.1038/s41598-017-01834-w.pdf,The emergence of exome sequencing in recent years has enabled rapid and cost-effective detection of genetic variants in coding regions and offers a great opportunity to combine …,6
3,Integrating embeddings of multiple gene networks to prioritize complex disease-associated genes,https://ieeexplore.ieee.org/abstract/document/8217651/,"… Global Experts of China, and Tsinghua National Laboratory for Information Science and Technology. Rui Jiang is a RONG professor at the institute for data science, Tsinghua University. …",12
3,Glycan‐masking hemagglutinin antigens from stable CHO cell clones for H5N1 avian influenza vaccine development,https://onlinelibrary.wiley.com/doi/abs/10.1002/bit.26810,… All animal studies were performed in accordance with guidelines established by the Laboratory Animal Center of National Tsing Hua University (NTHU). The experimental procedures …,12
3,Svqn: Sequential variational soft q-learning networks,https://openreview.net/pdf?id=9_oTSv35eS3,Partially Observable Markov Decision Processes (POMDPs) are popular and flexible models for real-world decision-making applications that demand the information from past …,8
3,Combo-action: Training agent for fps game with auxiliary tasks,https://ojs.aaai.org/index.php/AAAI/article/view/3885,"Deep reinforcement learning (DRL) has achieved surpassing human performance on Atari games, using raw pixels and rewards to learn everything. However, first-person-shooter (FPS…",15
3,TiKick: towards playing multi-agent football full games from single-agent demonstrations,https://arxiv.org/abs/2110.04507,"Deep reinforcement learning (DRL) has achieved super-human performance on complex video games (eg, StarCraft II and Dota II). However, current DRL systems still suffer from …",5
3,Deeptriager: A neural attention model for emergency triage with electronic health records,https://ieeexplore.ieee.org/abstract/document/8983093/,"… The triage data in this study is a retrospective patient cohort collected from the Emergency department of Beijing Tsinghua Chang Gung Hospital, from 2015 to 2017. The dataset …",3
3,VMAPD: Generate Diverse Solutions for Multi-Agent Games with Recurrent Trajectory Discriminators,https://ieeexplore.ieee.org/abstract/document/9893722/,"… 5th Yu Wang Tsinghua University Beijing, China yu-wang@tsinghua.edu.cn 6th Ting Chen Tsinghua University Beijing, China tingchen@tsinghua.edu.cn …",0
4,Will supercomputers be super-data and super-AI machines?,https://dl.acm.org/doi/fullHtml/10.1145/3239556,… Haohuan Fu is professor in the Department of Earth System Science at Tsinghua … Wenguang Chen is a professor in the Department of Computer Science and Technology at Tsinghua …,17
4,The future of artificial intelligence in China,https://dl.acm.org/doi/pdf/10.1145/3239540,"… Jun Zhu is a professor of computer science at Tsinghua University and director of TSAIL. … Wenguang Chen is a professor of computer science and technology at Tsinghua University, …",18
4,MetaOJ: A massive distributed online judge system,https://ieeexplore.ieee.org/abstract/document/9312782/,"… of Computer Science and Technology, Tsinghua University. His research interest includes … Wenguang Chen received the bachelor and PhD degrees in computer science from Tsinghua …",8
4,Heterogeneous parallel algorithm design and performance optimization for WENO on the Sunway Taihulight supercomputer,https://ieeexplore.ieee.org/abstract/document/8768206/,… from Tsinghua University in 2008. Her research interests include cloud computing and parallel computing. Wenguang Chen received the BS and PhD degrees from Tsinghua University …,9
4,FinePar: Irregularity-aware fine-grained workload partitioning on integrated architectures,https://ieeexplore.ieee.org/abstract/document/7863726/,"The integrated architecture that features both CPU and GPU on the same die is an emerging and promising architecture for fine-grained CPU-GPU collaboration. However, the …",56
4,Scalable graph traversal on sunway taihulight with ten million cores,https://ieeexplore.ieee.org/abstract/document/7967154/,"… California, § Research Institute of Tsinghua University in Shenzhen, ¶ … 1Youwei took part in this work at Tsinghua University. … author is Wenguang Chen (Email: cwg@tsinghua.edu.cn). …",39
4,Spindle: Informed memory access monitoring,https://www.usenix.org/system/files/conference/atc18/atc18-wang-haojie.pdf,"… We also thank colleagues from both the Tsinghua University PACMAN group and the QCRI Distributed Systems group, for their valuable feedback and suggestions. This work is …",15
4,Bridge the gap between neural networks and neuromorphic hardware with a neural network compiler,https://dl.acm.org/doi/abs/10.1145/3173162.3173205,"Different from developing neural networks (NNs) for general-purpose processors, the development for NN chips usually faces with some hardware-specific restrictions, such as limited …",67
4,A system hierarchy for brain-inspired computing,https://www.nature.com/articles/s41586-020-2782-y,Neuromorphic computing draws inspiration from the brain to provide computing technology and architecture with the potential to drive the next wave of computer engineering 1 – 13 . …,87
4,Scaling graph traversal to 281 trillion edges with 40 million cores,https://dl.acm.org/doi/abs/10.1145/3503221.3508403,"… wangyw20@mails.tsinghua.edu.cn Department of Computer Science and Technology & BNRist Tsinghua University Beijing, China … The corresponding author is Wenguang Chen. …",4
4,Performance evaluation and optimization of HBM-enabled GPU for data-intensive applications,https://ieeexplore.ieee.org/abstract/document/8293707/,"… Maohua Zhu received the BS and MS degrees in electronics engineering from Tsinghua University, Beijing, China, in 2011 and 2007, respectively. He is currently working toward the Ph.…",33
4,AIPerf: Automated machine learning as an AI-HPC benchmark,https://ieeexplore.ieee.org/abstract/document/9430136/,… He is currently pursuing the PhD degree in computer science and technology at Tsinghua … Wenguang Chen received the BEng and PhD degrees in computer science from Tsinghua …,13
4,SaberLDA: Sparsity-aware learning of topic models on GPUs,https://dl.acm.org/doi/abs/10.1145/3093336.3037740,"… 1Department of Computer Science and Technology, CBICR Center, Tsinghua University, China … are Wenguang Chen (cwg@tsinghua.edu.cn) and Jun Zhu (dcszj@tsinghua.edu.cn). …",25
4,Vapro: Performance variance detection and diagnosis for production-run parallel applications,https://dl.acm.org/doi/abs/10.1145/3503221.3508411,"… Wenguang Chen Tsinghua University and BNRist … Foundation (2020TQ0169), ShuiMu Tsinghua Scholar fellowship (2019SM131), Tsinghua University Initiative Scientific Research …",1
4,Helmholtz solving and performance optimization in global/regional assimilation and prediction system,https://ieeexplore.ieee.org/abstract/document/9220759/,… She received the PhD degree from Tsinghua University in 2008. Her research interests … Wenguang Chen received the BS and PhD degrees in computer science from Tsinghua …,2
4,TriCache: A User-Transparent Block Cache Enabling High-Performance Out-of-Core Processing with In-Memory Programs,https://dl.acm.org/doi/abs/10.1145/3583139,"… ∗Wenguang Chen is the corresponding author. … The corresponding author is Wenguang Chen. … Yu, Lei Xie, Ashraf Aboulnaga, and Wenguang Chen. 2020. LiveGraph: a transactional …",0
4,LotusSQL: SQL engine for high-performance big data systems,https://ieeexplore.ieee.org/abstract/document/9523499/,… PhD degree at Tsinghua University. His … Wenguang Chen currently is a professor at Tsinghua University. He received the bachelor and PhD degrees in computer science from Tsinghua …,6
4,Welcome to the China region special section,https://dl.acm.org/doi/pdf/10.1145/3239532,… Wenguang Chen is a professor in the Department of Computer Science and Technology at Tsinghua … SECTION CO-ORGANIZERS Wenquang Chen Tsinghua University Xiang-Yang Li …,2
4,Glm-130b: An open bilingual pre-trained model,https://arxiv.org/abs/2210.02414,"We introduce GLM-130B, a bilingual (English and Chinese) pre-trained language model with 130 billion parameters. It is an attempt to open-source a 100B-scale model at least as good …",12
4,Versapipe: a versatile programming framework for pipelined computing on GPU,https://dl.acm.org/doi/abs/10.1145/3123939.3123978,"… Wenguang Chen Tsinghua University cwg@tsinghua.edu.cn … Research and Development Program 2016YFB0200100, and Tsinghua University Initiative Scienti c Research Program. …",32
5,Confining Free Radicals in Close Vicinity to Contaminants Enables Ultrafast Fenton‐like Processes in the Interspacing of MoS2 Membranes,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201903531,Heterogenous Fenton‐like reactions are frequently proposed for treating persistent pollutants through the generation of reactive radicals. Despite great efforts to optimize catalyst activity…,284
5,"Rapid, high-efficient and scalable exfoliation of high-quality boron nitride nanosheets and their application in lithium-sulfur batteries",https://link.springer.com/article/10.1007/s12274-020-3245-3,"Boron nitride nanosheets (BNNSs) have gained significant attraction in energy and environment fields because of their two-dimensional (2D) nature, large band gap and high thermal/…",51
5,Functionalized graphene oxide nanosheets with unique three-in-one properties for efficient and tunable antibacterial applications,https://link.springer.com/article/10.1007/s12274-020-3064-6,Developing antibiotics-independent antibacterial agents is of great importance since antibiotic therapy faces great challenges from drug resistance. Graphene oxide (GO) is a promising …,56
5,Ultrasonication-assisted and gram-scale synthesis of Co-LDH nanosheet aggregates for oxygen evolution reaction,https://link.springer.com/article/10.1007/s12274-019-2575-5,"Electrochemical water splitting (EWS) is a highly clean and efficient method for high-purity hydrogen production. Unfortunately, EWS suffers from the sluggish and complex oxygen …",75
5,A polyoxometalate-functionalized two-dimensional titanium carbide composite MXene for effective cancer theranostics,https://link.springer.com/article/10.1007/s12274-018-2002-3,"As a new family of two-dimensional (2D) nanomaterials, MXenes have recently attracted much attention because of high performance in versatile applications including energy storage …",103
5,Trimetallic PtRhNi alloy nanoassemblies as highly active electrocatalyst for ethanol electrooxidation,https://link.springer.com/article/10.1007/s12274-017-1545-z,"Although nanostructures based on noble metal alloys are widely utilized in (electro)catalysis, their low-temperature synthesis remains an enormous challenge due to the different Nernst …",84
5,N-doped carbon nanocages: Bifunctional electrocatalysts for the oxygen reduction and evolution reactions,https://link.springer.com/article/10.1007/s12274-017-1808-8,"Highly efficient metal-free, carbon-based, bi-functional electrocatalysts for the oxygen evolution reaction (OER) and oxygen reduction reaction (ORR) have attracted increased attention …",72
5,Dual confinement of polysulfides in boron-doped porous carbon sphere/graphene hybrid for advanced Li-S batteries,https://link.springer.com/article/10.1007/s12274-018-2036-6,"A hybrid structure consisting of boron-doped porous carbon spheres and graphene (BPCS-G) has been designed and synthesized toward solving the polysulfide-shuttle problem, which …",43
5,Multifunctional shape-dependent plasmonic nanoprobe by enzymatic etching of single gold triangular nanoplate,https://link.springer.com/article/10.1007/s12274-020-3023-2,"Hydrogen peroxide (H 2 O 2 ), as a signaling molecule, plays a vital role in a wide variety of signaling transduction processes, aging, and diseases. However, the excessive production …",16
